789552,006,Mao Tieu Thao,14,11,2023,14,11,2023
654321,006,Tran Thi Binh,12,8,1985,22,3,2022
888000,123,Le Van C,5,2,2023,10,10,2023
456789,123,Pham Hong Duy,30,11,2023,18,9,2024
777888,006,Vo Thi Kim Ngan,3,7,1922,5,12,2022
321654,006,Nguyen Van Dung,20,4,1923,14,6,2023
112233,4566,Doan Van Hoang,15,5,2022,20,5,2022
444555,006,Trinh Thi Minh Hang,8,3,1987,1,1,2024
999111,006,Le Van Anh,2,12,2001,9,8,2025
888999,123,Hoang Thi Mai,18,6,1993,7,4,2023
00123456,123,Nguyen Van Phuc,11,1,1980,25,11,2022
00123456,001,Nguyen Van Phuc,10,11,2023,17,11,2023
00111111,001,Nguyen Ba Nghia,17,11,2023,24,11,2023
221231000,002,Nguyen Anh Nam,19,11,2023,26,11,2023
1023,123,Tran Hung,19,11,2023,26,11,2023
00000001,005,Nguyen Van Bao,22,11,2023,29,11,2023
00000000,001,Nguyen Van Tu,23,11,2023,30,11,2023
